"Time (s)","Distance (cm)"
2.521504168E-2,5.000000000E0
1.338858542E0,0.000000000E0
2.355698375E0,5.000000000E0
2.855816000E0,0.000000000E0
3.189202083E0,5.000000000E0
3.372629042E0,0.000000000E0
3.689315333E0,5.000000000E0
5.989816083E0,0.000000000E0
6.406557292E0,5.000000000E0
7.373386917E0,0.000000000E0
7.590146417E0,5.000000000E0
8.256929083E0,0.000000000E0
9.690576125E0,5.000000000E0
1.054078154E1,0.000000000E0
1.077414596E1,5.000000000E0
1.159096300E1,0.000000000E0
1.319129271E1,5.000000000E0
1.339132575E1,0.000000000E0
1.370802354E1,5.000000000E0
1.387477363E1,0.000000000E0
1.495831717E1,5.000000000E0
1.705874483E1,0.000000000E0
1.840902783E1,5.000000000E0
1.870912533E1,0.000000000E0
1.950926600E1,5.000000000E0
1.962597025E1,0.000000000E0
1.984267517E1,5.000000000E0
2.042610429E1,0.000000000E0
2.230978450E1,5.000000000E0
2.282661571E1,0.000000000E0
2.347671250E1,5.000000000E0
2.417685325E1,0.000000000E0
2.436021342E1,5.000000000E0
2.469368767E1,0.000000000E0
2.935675017E1,5.000000000E0
3.153631175E1,5.000000000E0
3.564844050E1,0.000000000E0
3.668198812E1,5.000000000E0
3.698201871E1,0.000000000E0
3.813225942E1,5.000000000E0
3.824896596E1,0.000000000E0
3.864905163E1,5.000000000E0
3.898245942E1,0.000000000E0
3.929919425E1,5.000000000E0
3.978260388E1,0.000000000E0
4.019938842E1,5.000000000E0
4.116624221E1,0.000000000E0
4.199974871E1,5.000000000E0
4.328337133E1,0.000000000E0
4.370011125E1,5.000000000E0
4.405018433E1,0.000000000E0
4.436689875E1,5.000000000E0
4.491701796E1,0.000000000E0
4.555053292E1,5.000000000E0
4.585055325E1,0.000000000E0
4.871777533E1,5.000000000E0
4.885126033E1,0.000000000E0
6.220397633E1,5.000000000E0
6.472094000E1,0.000000000E0
6.850500667E1,5.000000000E0
8.295793308E1,0.000000000E0
8.327471025E1,5.000000000E0
8.467497283E1,0.000000000E0
8.500840388E1,5.000000000E0
8.742556904E1,0.000000000E0
8.852580142E1,5.000000000E0
9.866123054E1,0.000000000E0
9.902798838E1,5.000000000E0
1.059460940E2,0.000000000E0
1.065629212E2,5.000000000E0
1.075964320E2,0.000000000E0
1.079132136E2,5.000000000E0
1.083965713E2,0.000000000E0
1.086133414E2,5.000000000E0
1.096301900E2,0.000000000E0
1.098468357E2,5.000000000E0
1.123640499E2,0.000000000E0
1.126808248E2,5.000000000E0
1.131308732E2,0.000000000E0
1.135476509E2,5.000000000E0
1.154814220E2,0.000000000E0
1.160982331E2,5.000000000E0
1.166316115E2,0.000000000E0
1.175317828E2,5.000000000E0
1.184319771E2,0.000000000E0
1.185487684E2,5.000000000E0
1.196822753E2,0.000000000E0
1.202990592E2,5.000000000E0
1.204658029E2,0.000000000E0
1.231829790E2,5.000000000E0
1.247019523E2,0.000000000E0
1.260189242E2,5.000000000E0
1.287861775E2,0.000000000E0
1.291195565E2,5.000000000E0
1.296696605E2,0.000000000E0
1.298863599E2,5.000000000E0
1.313866915E2,0.000000000E0
1.316034138E2,5.000000000E0
1.353708527E2,0.000000000E0
1.457062578E2,5.000000000E0
1.471562063E2,0.000000000E0
1.492065565E2,5.000000000E0
1.514569906E2,0.000000000E0
1.516737639E2,5.000000000E0
1.521571850E2,0.000000000E0
1.532574312E2,5.000000000E0
1.545743462E2,0.000000000E0
1.550910978E2,5.000000000E0
1.559912899E2,0.000000000E0
1.566247896E2,5.000000000E0
1.569581420E2,0.000000000E0
1.592252777E2,5.000000000E0
1.595246389E2,0.000000000E0
1.608582818E2,5.000000000E0
1.609749794E2,0.000000000E0
1.642256384E2,5.000000000E0
1.644432284E2,0.000000000E0
1.648599940E2,5.000000000E0
1.656101813E2,0.000000000E0
1.658435327E2,5.000000000E0
1.666270030E2,0.000000000E0
1.677438416E2,5.000000000E0
1.692441668E2,0.000000000E0
1.697442811E2,5.000000000E0
1.699276704E2,0.000000000E0
1.706610736E2,5.000000000E0
1.711279253E2,0.000000000E0
1.729616540E2,5.000000000E0
1.733450266E2,0.000000000E0
1.776293691E2,5.000000000E0
1.781798574E2,0.000000000E0
1.787133595E2,5.000000000E0
1.799968784E2,0.000000000E0
1.810304952E2,5.000000000E0
1.813138472E2,0.000000000E0
1.822640659E2,5.000000000E0
1.824474350E2,0.000000000E0
1.831809180E2,5.000000000E0
1.834976429E2,0.000000000E0
1.837143606E2,5.000000000E0
1.840310875E2,0.000000000E0
1.843644398E2,5.000000000E0
1.845811852E2,0.000000000E0
1.865316190E2,5.000000000E0
1.933996775E2,0.000000000E0
1.946332655E2,5.000000000E0
1.976005348E2,0.000000000E0
2.013679746E2,5.000000000E0
2.018689675E2,0.000000000E0
2.139547570E2,5.000000000E0
2.143231763E2,0.000000000E0
2.148565909E2,5.000000000E0
2.149899823E2,0.000000000E0
2.155233971E2,5.000000000E0
2.159234549E2,0.000000000E0
2.175570886E2,5.000000000E0
2.183573100E2,0.000000000E0
2.192575222E2,5.000000000E0
2.198243218E2,0.000000000E0
2.403136789E2,5.000000000E0
2.423131003E2,0.000000000E0
2.429298649E2,5.000000000E0
2.440300946E2,0.000000000E0
2.446635697E2,5.000000000E0
2.452303405E2,0.000000000E0
2.472307490E2,5.000000000E0
2.478308621E2,0.000000000E0
2.681350209E2,5.000000000E0
2.683676431E2,0.000000000E0
2.687844665E2,5.000000000E0
2.692178071E2,0.000000000E0
3.309968978E2,5.000000000E0
3.316318919E2,0.000000000E0
3.331655422E2,5.000000000E0
3.334655007E2,0.000000000E0
3.349991890E2,5.000000000E0
3.354660061E2,0.000000000E0
3.357827477E2,5.000000000E0
3.358994462E2,0.000000000E0
3.362328093E2,5.000000000E0
3.367995841E2,0.000000000E0
3.377164397E2,5.000000000E0
3.384999479E2,0.000000000E0
3.390166755E2,5.000000000E0
3.398836254E2,0.000000000E0
3.408004163E2,5.000000000E0
3.409338048E2,0.000000000E0
3.415672171E2,5.000000000E0
3.418339994E2,0.000000000E0
3.423507628E2,5.000000000E0
3.431175485E2,0.000000000E0
3.435342954E2,5.000000000E0
3.440844038E2,0.000000000E0
3.446011745E2,5.000000000E0
3.451179623E2,0.000000000E0
3.471517065E2,5.000000000E0
3.495188939E2,0.000000000E0
3.497522737E2,5.000000000E0
3.501856632E2,0.000000000E0
3.505023930E2,5.000000000E0
3.508024414E2,0.000000000E0
3.516360123E2,5.000000000E0
3.527695589E2,0.000000000E0
3.529195423E2,5.000000000E0
3.535197272E2,0.000000000E0
3.674741171E2,5.000000000E0
3.684732488E2,0.000000000E0
3.686399770E2,5.000000000E0
3.691900662E2,0.000000000E0
3.695567690E2,5.000000000E0
3.703569444E2,0.000000000E0
3.703736338E2,5.000000000E0
3.709737444E2,0.000000000E0
3.721906571E2,5.000000000E0
3.725073287E2,0.000000000E0
3.741577415E2,5.000000000E0
3.747912125E2,0.000000000E0
3.751745926E2,5.000000000E0
3.769583075E2,0.000000000E0
3.811258634E2,5.000000000E0
3.815079535E2,0.000000000E0
3.820747759E2,5.000000000E0
3.834916534E2,0.000000000E0
3.837251413E2,5.000000000E0
3.846252465E2,0.000000000E0
3.851420719E2,5.000000000E0
3.867090315E2,0.000000000E0
3.880426896E2,5.000000000E0
3.885094405E2,0.000000000E0
3.888261333E2,5.000000000E0
3.892929003E2,0.000000000E0
3.901263857E2,5.000000000E0
3.906764937E2,0.000000000E0
3.919435015E2,5.000000000E0
3.924268198E2,0.000000000E0
4.109139930E2,5.000000000E0
4.116143980E2,0.000000000E0
4.236775228E2,5.000000000E0
4.238165316E2,0.000000000E0
4.245333538E2,5.000000000E0
4.248000733E2,0.000000000E0
4.256336082E2,5.000000000E0
4.261836992E2,0.000000000E0
4.271172495E2,5.000000000E0
4.277839605E2,0.000000000E0
4.301178950E2,5.000000000E0
4.305522103E2,0.000000000E0
4.328026353E2,5.000000000E0
4.330346420E2,0.000000000E0
4.335348168E2,5.000000000E0
4.340848354E2,0.000000000E0
4.353184270E2,5.000000000E0
4.358685617E2,0.000000000E0
4.388358125E2,5.000000000E0
4.417210600E2,0.000000000E0
4.420378371E2,5.000000000E0
4.424878847E2,0.000000000E0
4.427879812E2,5.000000000E0
4.430379910E2,0.000000000E0
4.476223010E2,5.000000000E0
4.488892672E2,0.000000000E0
4.492060453E2,5.000000000E0
4.499061280E2,0.000000000E0
4.508396535E2,5.000000000E0
4.547570637E2,0.000000000E0
4.549904888E2,5.000000000E0
4.633755488E2,0.000000000E0
4.635089202E2,5.000000000E0
4.641756954E2,0.000000000E0
4.643424185E2,5.000000000E0
4.665261793E2,0.000000000E0
4.675430782E2,5.000000000E0
4.711438508E2,0.000000000E0
4.712272334E2,5.000000000E0
4.732275328E2,0.000000000E0
4.745945703E2,5.000000000E0
4.764282605E2,0.000000000E0
4.765116128E2,5.000000000E0
4.835297998E2,0.000000000E0
4.863136338E2,5.000000000E0